NCTId,BriefTitle,OverallStatus,Facility,City,State,Zip,Country,SiteStatus
NCT07074496,"Efficacy, Safety, and Pharmacokinetics of ThisCART19A Combined With Olverembatinib in Patients With Newly Diagnosed Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia.",ACTIVE_NOT_RECRUITING,"The First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology",Suzhou,Jiangsu,215000,China,
NCT07074496,"Efficacy, Safety, and Pharmacokinetics of ThisCART19A Combined With Olverembatinib in Patients With Newly Diagnosed Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia.",ACTIVE_NOT_RECRUITING,"The First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology",Suzhou,Jiangsu,215006,China,
NCT07053670,A Clinical Study Exploring CT1190B in the Treatment of Patients With Relapsed/Refractory B-cell Non-Hodgkin Lymphoma ( CT1190B-CG11001 ),RECRUITING,"Tongji Hospital Affiliated to Tongji Medical College, Huazhong University of Science and Technology",Wuhang,Hubei,430030,China,RECRUITING
NCT02919046,Study Evaluating the Efficacy and Safety With CAR-T for Relapsed or Refractory Neuroblastoma in Children,UNKNOWN,Nanjing Children's Hospital,Nanjing,Jiangsu,210008,China,RECRUITING
NCT02919046,Study Evaluating the Efficacy and Safety With CAR-T for Relapsed or Refractory Neuroblastoma in Children,UNKNOWN,Children's Hospital of Fudan University,Shanghai,Shanghai Municipality,201102,China,RECRUITING
NCT05237986,Cognitive Aftereffects of Neurotoxicity in Children and Young Adults With Relapsed/Refractory Hematologic Malignancies Who Receive CAR T-cell Therapy,RECRUITING,Children s Hospital of Los Angeles,Los Angeles,California,90027,United States,RECRUITING
NCT05237986,Cognitive Aftereffects of Neurotoxicity in Children and Young Adults With Relapsed/Refractory Hematologic Malignancies Who Receive CAR T-cell Therapy,RECRUITING,National Institutes of Health Clinical Center,Bethesda,Maryland,20892,United States,RECRUITING
NCT05237986,Cognitive Aftereffects of Neurotoxicity in Children and Young Adults With Relapsed/Refractory Hematologic Malignancies Who Receive CAR T-cell Therapy,RECRUITING,Seattle Children s Hospital,Seattle,Washington,98105,United States,RECRUITING
NCT04007029,Modified Immune Cells (CD19/CD20 CAR-T Cells) in Treating Patients With Recurrent or Refractory B-Cell Lymphoma or Chronic Lymphocytic Leukemia,ACTIVE_NOT_RECRUITING,UCLA / Jonsson Comprehensive Cancer Center,Los Angeles,California,90095,United States,
NCT05645601,CAR-NK Targeted CD19 for r/r B-cell Malignancies,UNKNOWN,The Fifth Medical Center of Chinese People's Liberation Army (PLA) General Hospital,Beijing,Beijing Municipality,100071,China,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,Banner Health,Gilbert,Arizona,85234,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,Mayo Clinic Hospital,Phoenix,Arizona,85054,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,City of Hope,Duarte,California,90101,United States,COMPLETED
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,University of California San Diego,La Jolla,California,92093,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,Stanford University,Palo Alto,California,94304,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,UCLA Medical Center,Santa Monica,California,90404,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,Mayo Clinic Jacksonville,Jacksonville,Florida,32224,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,Moffitt Cancer Center,Tampa,Florida,33136,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,Massachusetts General Hospital/Dana Farber Cancer Institute,Boston,Massachusetts,02114,United States,COMPLETED
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,Mayo Clinic Rochester,Rochester,Minnesota,55905,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,Washington University,St Louis,Missouri,63110,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,NYU Langone Medical Center,New York,New York,10016,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,The Ohio State University Comprehensive Cancer Center,Columbus,Ohio,43210,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,Vanderbilt University Medical Center,Nashville,Tennessee,37232,United States,RECRUITING
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,MD Anderson Cancer Center,Houston,Texas,77030,United States,COMPLETED
NCT04981119,Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing,RECRUITING,Fred Hutchinson Cancer Center,Seattle,Washington,98109,United States,RECRUITING
NCT06377228,A Study of TAK-007 in Adults With Refractory Lupus Nephritis (LN) or Refractory Systemic Sclerosis (SSc),WITHDRAWN,University of Texas Health Science Center,Houston,Texas,77030,United States,
NCT06461624,Clinical Trial of Autologous GPC3 CAR-T Cells (CBG166) Therapy for Advanced Hepatocellular Carcinoma,RECRUITING,"First Affiliated Hospital, Medical College of Zhejiang University",Hangzhou,Zhejiang,310003,China,RECRUITING
NCT06461624,Clinical Trial of Autologous GPC3 CAR-T Cells (CBG166) Therapy for Advanced Hepatocellular Carcinoma,RECRUITING,"the First Affiliated Hospital, School of Medicine, Zhejiang University",Hangzhou,Zhejiang,310009,China,RECRUITING
NCT06912529,Axicabtagene Ciloleucel CAR T-cells in Patients With Relapsed or Refractory Primary Mediastinal B-cell Lymphoma,TERMINATED,"Medizinische Klinik A Hämatologie, Hämostaseologie, Onkologie und Pneumologie Universitätsklinikum Münster",Münster,,48149,Germany,
NCT07523529,Biomarker-Guided Dual-Target CAR-T Cells for Advanced Solid Tumors,RECRUITING,Peking University Shenzhen Hospital,Shenzhen,Guangdong,518036,China,RECRUITING
NCT05563545,Anti-CD19 CAR-Engineered NK Cells in the Treatment of Relapsed/Refractory Acute Lymphoblastic Leukemia,COMPLETED,Hebei Yanda Ludaopei Hospital,Sanhe,Hebei,,China,
NCT06552572,Glofitamab in Relapsed or Refractory Diffuse Large B-cell Lymphoma After CD19 Chimeric Antigen Receptor T-cell Therapy,ACTIVE_NOT_RECRUITING,Samsung Medical Center,Seoul,,135-710,South Korea,
NCT02892695,PCAR-119 Bridge Immunotherapy Prior to Stem Cell Transplant in Treating Patients With CD19 Positive Leukemia and Lymphoma,UNKNOWN,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",Suzhou,Jiangsu,215123,China,RECRUITING
NCT06027957,CD19 CAR T-Cell Therapy for R/R Non-Hodgkin Lymphoma and Acute Lymphoblastic Leukemia,COMPLETED,Vinmec Research Institute of Stem Cell and Gene Technology,Hanoi,Hanoi,100000,Vietnam,
NCT07333573,A Hypoxia-Inducible CAR-T Cell Targeting AXL and CD73 for Advanced Gastric Cancer,NOT_YET_RECRUITING,Fudan University Zhongshan Hospital,Shanghai,Shanghai Municipality,200032,China,
NCT03283631,Intracerebral EGFR-vIII CAR-T Cells for Recurrent GBM,TERMINATED,Duke University Medical Center,Durham,North Carolina,27710,United States,
NCT05902845,RD13-02 CAR-T Cell Injection for Patients With r/r CD7+ T-ALL/T-LBL,COMPLETED,The First Affiliated Hospital of University of Science and Technology of China,Hefei,Anhui,230002,China,
NCT04796441,Clinical Study of Universal CAR-γδT Cell Injection in the Treatment of Patients With Relapsed AML After Transplantation,UNKNOWN,Hebei yanda Ludaopei Hospital,Yanda,Hebei,,China,RECRUITING
NCT05467254,Evaluate the Safety and Efficacy of CLL1+CD33 CAR-T in Patients With R/R AML,UNKNOWN,Mingming Zhang Zhang,Hangzhou,,,China,
NCT02954445,A Clinical Research of BCMA-Targeted CAR-T in B Cell Malignancies,UNKNOWN,Southwest Hospital of Third Millitary Medical University,Chongqing,Chongqing Municipality,400000,China,RECRUITING
NCT07463781,Neurocognitive Assessment in Adults Undergoing CD19 Targeted CAR-T Cell Therapy,NOT_YET_RECRUITING,SCDU Ematologia - AOU SS. Antonio e Biagio e Cesare Arrigo di Alessandria,Alessandria,,,Italy,
NCT07463781,Neurocognitive Assessment in Adults Undergoing CD19 Targeted CAR-T Cell Therapy,NOT_YET_RECRUITING,"Clinica di Ematologia, AOU Ospedali Riuniti",Ancona,,,Italy,
NCT07463781,Neurocognitive Assessment in Adults Undergoing CD19 Targeted CAR-T Cell Therapy,NOT_YET_RECRUITING,USD-TMO Adulti - ASST Spedali Civili di Brescia,Brescia,,,Italy,
NCT07463781,Neurocognitive Assessment in Adults Undergoing CD19 Targeted CAR-T Cell Therapy,NOT_YET_RECRUITING,Divisione di Ematologia - A.O. Ospedali Riuniti Villa Sofia-Cervello,Palermo,,,Italy,
NCT07463781,Neurocognitive Assessment in Adults Undergoing CD19 Targeted CAR-T Cell Therapy,NOT_YET_RECRUITING,Ematologia - Grande Ospedale Metropolitano Bianchi Melacrino Morelli,Reggio Calabria,,,Italy,
NCT07463781,Neurocognitive Assessment in Adults Undergoing CD19 Targeted CAR-T Cell Therapy,NOT_YET_RECRUITING,Ematologia - Università Cattolica S. Cuore,Roma,,,Italy,
NCT07463781,Neurocognitive Assessment in Adults Undergoing CD19 Targeted CAR-T Cell Therapy,NOT_YET_RECRUITING,"SC Ematologia - Ospedale ""S.G. Moscati""",Taranto,,,Italy,
NCT07463781,Neurocognitive Assessment in Adults Undergoing CD19 Targeted CAR-T Cell Therapy,NOT_YET_RECRUITING,SOC Clinica Ematologica - Azienda Sanitaria Universitaria Friuli Centrale (ASU FC),Udine,,,Italy,
NCT06684639,A Study on the Efficacy of GD2-CAR T Cells in the Treatment of Neuroblastoma,RECRUITING,The General Hospital of Western Theater Command,Chengdu,Sichuan,,China,RECRUITING
NCT06647329,CAR-T Technology for Recurrent/Refractory Malignant Hematological and Lymphatic Tumors,NOT_YET_RECRUITING,the First Hospital of Zhengzhou University,Zhengzhou,Henan,470000,China,
NCT06553872,Phase 2 Open Label Randomized Study of Pirtobrutinib and Brexucabtagene Autoleucel in R/R MCL,RECRUITING,Stanford Cancer Center,Stanford,California,94305,United States,NOT_YET_RECRUITING
NCT06553872,Phase 2 Open Label Randomized Study of Pirtobrutinib and Brexucabtagene Autoleucel in R/R MCL,RECRUITING,Univ of Miami - Sylvester Comprehensive Cancer Center,Miami,Florida,33136,United States,RECRUITING
NCT06553872,Phase 2 Open Label Randomized Study of Pirtobrutinib and Brexucabtagene Autoleucel in R/R MCL,RECRUITING,Moffitt Cancer Center,Tampa,Florida,33612,United States,RECRUITING
NCT04853277,Patient Reported Outcomes and Patient Education in Cellular Therapy Patients,COMPLETED,Dartmouth-Hitchcock Medical Center,Lebanon,New Hampshire,03756,United States,
NCT07156045,Study of Allogeneic Anti-PSMA CAR-NK Cell for Metastatic Castration-Resistant Prostate Cancer,RECRUITING,Cancer Hospital Chinese Academy of Medical Sciences,Beijing,Beijing Municipality,100000,China,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,Banner Health,Gilbert,Arizona,85234,United States,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,UCSD Moores Cancer Center,La Jolla,California,92093,United States,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,UCLA Medical Center,Los Angeles,California,90404,United States,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,Stanford University,Stanford,California,94305,United States,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,Mayo Clinic,Jacksonville,Florida,32224,United States,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,Moffitt Cancer Center,Tampa,Florida,33606,United States,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,Mayo Clinic Rochester,Rochester,Minnesota,55905,United States,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,Washington University,St Louis,Missouri,63110,United States,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,NYU Langone Medical Center,New York,New York,10016,United States,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,The Ohio State University Comprehensive Cancer Center,Columbus,Ohio,43210,United States,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,Vanderbilt University Medical Center,Nashville,Tennessee,37232,United States,RECRUITING
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,Fred Hutchinson Cancer Center,Seattle,Washington,98109,United States,RECRUITING
NCT06961669,"Intravenous Autologous CD19 CAR-T Cells for R/ R MM, B-ALL, and B-Cell Lymphoma",RECRUITING,The First Affiliated Hospital of University of Science and Technology of China,Hefei,,,China,RECRUITING
NCT04928105,Senl-T7 CAR-T Cells for Treatment of Relapsed or Refractory CD7+ Lymphoma,UNKNOWN,Hebei yanda Ludaopei Hospital,Yanda,Hebei,,China,RECRUITING
NCT02588456,Pilot Study of Autologous Anti-CD22 Chimeric Antigen Receptor Redirected T Cells In Patients With Chemotherapy Resistant Or Refractory Acute Lymphoblastic Leukemia,TERMINATED,Abramson Cancer Center of the University of Pennsylvania,Philadelphia,Pennsylvania,19104,United States,
NCT06695013,Immunobridging/Maintenance Therapy Versus Non-bridging Therapy in CAR-T Therapy for Low-risk R/R B-NHL,RECRUITING,Ruijin,Shanghai,Shanghai Municipality,,China,RECRUITING
NCT07361094,Autologous CD19/BCMA Dual-Target CAR-T for Relapsed/Refractory Autoimmune Diseases,RECRUITING,Beijing GoBroad Boren Hospital,Beijing,,100070,China,RECRUITING
